,generation,params,ecological_impact,economic_impact,adjusted_score,ok_satisfaction,high_sat,med_sat,low_sat,simulation
PF,0,1.4342356535532237,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
PG,0,0.6662408429966779,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
WF_EF,0,0.5104268591566881,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
PUR,0,0.3402569495351941,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
SUB_BC,0,1.9762293986536237,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
FIN_BC,0,0.17021769764908726,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
WF_SF,0,8.126357459692112,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
ANT_C_F,0,0.4585625212587976,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
ANT_N_F,0,0.2716974474707285,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
CF,0,1.994113079871528,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
CG,0,0.2723421170311795,0.8521739130434782,0.12769898430121232,-0.8096923200466138,1.0,0.8257031205706237,0.8018782170202052,0.793892718537797,<src.core.WaterManagementSimulation object at 0x00000173443B2FF0>
