ecological_impact,economic_impact,bias,uncertainty,scarcity,scenario,station,raw_ecological_impact,cooperation_percentage,scarcity_color,scenario_color,scenario_name,station_color
0.6841269841269841,-0.36494241301882757,0.0,0.0,low,0.yml,1,1353.0,0.9504285714285714,yellow,blue,0,green
0.6825396825396826,-0.36796893796046193,0.0,0.25,low,0.yml,1,1350.0,0.9492857142857143,yellow,blue,0,green
0.6788359788359788,-0.26387998305573174,0.0,0.5,low,0.yml,1,1343.0,0.9523571428571429,yellow,blue,0,green
0.6793650793650794,-0.08741428270478135,0.25,0.0,low,0.yml,1,1344.0,0.9584428571428572,yellow,blue,0,green
0.6825396825396826,0.025221676741232702,0.25,0.25,low,0.yml,1,1350.0,0.9645571428571429,yellow,blue,0,green
0.6825396825396826,-0.4774689227874415,0.25,0.5,low,0.yml,1,1350.0,0.9465142857142858,yellow,blue,0,green
0.6634920634920635,-0.28291146335924733,-0.25,0.0,low,0.yml,1,1314.0,0.9533857142857143,yellow,blue,0,green
0.6703703703703704,-0.4258872143490994,-0.25,0.25,low,0.yml,1,1327.0,0.9501571428571428,yellow,blue,0,green
2.671957671957672,-2.4043584813047545,-0.25,0.5,low,0.yml,1,1330.0,0.951,yellow,blue,0,green
0.680952380952381,-0.32720049800402623,0.5,0.0,low,0.yml,1,1347.0,0.9509428571428571,yellow,blue,0,green
0.6783068783068783,-0.231675588814562,0.5,0.25,low,0.yml,1,1342.0,0.9524,yellow,blue,0,green
0.6793650793650794,-0.2827811109551885,0.5,0.5,low,0.yml,1,1344.0,0.9544571428571429,yellow,blue,0,green
0.6783068783068783,-0.7242663746094216,-0.5,0.0,low,0.yml,1,1342.0,0.9440714285714286,yellow,blue,0,green
0.674074074074074,-1.1618228638821084,-0.5,0.25,low,0.yml,1,1334.0,0.9161285714285714,yellow,blue,0,green
0.682010582010582,-1.0350007974943862,-0.5,0.5,low,0.yml,1,1349.0,0.9249142857142857,yellow,blue,0,green
0.6703703703703704,0.3050642373910346,0.0,0.0,low,1.yml,1,1327.0,0.9562571428571428,yellow,red,1,green
0.680952380952381,-0.05197465552393443,0.0,0.25,low,1.yml,1,1347.0,0.9271285714285714,yellow,red,1,green
0.6698412698412698,0.05704169345654837,0.0,0.5,low,1.yml,1,1326.0,0.9382,yellow,red,1,green
0.6746031746031746,-0.033855157013637074,0.25,0.0,low,1.yml,1,1335.0,0.9261714285714285,yellow,red,1,green
0.6783068783068783,0.016974592718597938,0.25,0.25,low,1.yml,1,1342.0,0.9333714285714285,yellow,red,1,green
